RAZONSOCIAL;NOMBRECOMERCIAL;DIRECCION;SITIOWEB;EMAIL;TELEFONO;TELEFONO2;FAX;PRODUCTOS;EMPLEOTOTAL;RANGOFACTURACION;IMPORTA;EXPORTA;FECHAACTUALIZACION
CIENFUEGOS-JOVELLANOS Y BLANCO RIESTRA, C.B.;CIENFUEGOS BLANCO;ASTURIAS 4, 5º DCHA. 33206 GIJON ASTURIAS;;info@cienfuegosblanco.com;98.534.42.89/35.17.97;;98.534.59.28;Asesoramiento y tramitación de ayudas y subvenciones públicas. Departamento de creación y desarrollo de pymes. Asesoría fiscal, laboral y contable. Asesoría y defensa jurídica a empresas.;2;n.d.;;;30/07/2025
CIERRES Y APERTURAS AUTOMATICOS S.L.;CIAPER;C/ CORIN TELLADO, 10, BAJO 33204 GIJON ASTURIAS;http://www.ciaper.com;ciaper@ciaper.com;98.513.48.48;;98.537.39.20;Venta: puertas automáticas y manuales, persianas automáticas y manuales, barreras de paso, control de accesos, automatismos, video-porteros ,mandos a distancia, llaves magnéticas y de seguridad. Instalación: automatismos en puertas y persianas manuales, sistemas de control de parkings, porteros electrónicos. Reparación: todo tipo de puertas, manuales y automáticas, automatismos, cuadros de maniobra, mandos a distancia, alumbrado y señalización, garajes y persianas manuales.Mantenimiento integral en garajes comunitarios: puertas. Automatismos. Luces. Semáforos. Parking. Etc.;;n.d.;;;30/07/2025
CIMODI ELECTRONICA, S.L.;;POL. DE LA LOBA (EL P.E.P.) C/ REDERAS, 18 33490 AVILES ASTURIAS;http://www.cimodielectronica.es;info@cimodielectronica.es;98.556.55.53;;98.556.55.53;Fabricación de equipos y componentes electrónicos, montaje electrónico. Montadores de equipos electrónicos para empresas que lo soliciten (diseño, fabricación de tarjetas electrónicas y montaje).;;n.d.;;;21/10/2025
CIPRIANO PAREDES FDEZ, S.L.;;VALTRAVIESO, S/N, LUARCA 33791 VALDES ASTURIAS;;maderasparedesvaltravieso@yahoo.es;98.564.01.27;;98.564.01.27;Madera aserrada, tablas, tablones y explotación forestal;;n.d.;;si;30/07/2025
CIVIGNER, S.L.;;C/ LOS PRADOS 166 EDIFICIO CENTRO TECNOLOGICO 33203 GIJON ASTURIAS;http://civigner.com/;info@civigner.com;98.509.03.59;;;Desarrollo de software para ingeniería civil: carreteras, autovías, ferrocarriles, canales, gasoductos, elementos 3D, minería a cielo abierto y cualquier tipo de proceso constructivo que modifique el paisaje Soluciones en cloud computing Soluciones tecnológicas en plataformas colaborativas Soluciones tecnológicas en realidad virtual y realidad aumentada;;n.d.;;;30/07/2025
CIVILNOVA SOLUTIONS, S.L.;;C/ABLANAL 7, EDIFICIO CENTROELENA II, 0 A. PARQUE TECNOLOGICO DE ASTURIAS 33428 LLANERA ASTURIAS;http://www.civilnova.com;info@civilnova.com;98.408.63.93;;;Sistemas de trazabilidad (Explosivos, prefabricados). Gestión de infraestructuras (carreteras, ferrocarril). Monitorización de infraestructuras (túneles, estructuras, taludes, etc). Sistemas basados en la Nube. Gestión de puentes y estructuras. Seguimiento de flotas. Gestión de información geotécnica. Soluciones tecnológicas de cloud computing Soluciones colaborativas en plataformas colaborativas Soluciones tecnológicas aplicadas al proceso CKBLAST, MINETRACK, GEOLAB, AURA, AURAPORTS, GSTORE, CWS.;;Entre 450.001 y 600.000;;si;01/10/2025
CLAMBER SOLUTIONS, S.L.;;C/ JOSE MENENDEZ CARREÑO Nº 5- PISO 2 G 33011 OVIEDO ASTURIAS;http.//www.clambersolutions.com;admin@clambersolutions.com;98.598.00.98;;;Diseña, desarrolla e implanta tecnologías de la información basadas en el uso de herramientas Open Source y Open Data. Desarrolla productos y servicios a medida del cliente, gestión de proyectos y obras, consultoría y auditoría técnica, sistemas de gestión (calidad, medio ambiente, prevención de riesgos laborales e innovación) y gestión energética.;;n.d.;;;30/07/2025
CLARCAT CANTABRICO, S.L.;CLARCAT;AVDA. DE LOS CAMPONES, EDIF. FLC 75 - 1ª. TREMAÑES 33211 GIJON ASTURIAS;http://www.clarcat.com;info@clarcat.com;984188373;;;Consultoría informática especializada en ofrecer soluciones tecnológicas adaptadas a las necesidades de los clientes, en 5 áreas específicas:- Customer 360: Area especializada en implantacion de soluciones que permitan obtener una visión 360 del cliente. Especialista en Salesforce.- Advance Analytics: análisis e implantación de soluciones de analítica avanzada- Digital Business: implantación de plataformas de experiencia digital (DXP), servicios y arquitecturas Cloud e IoT Industrial- Digital Marketing: Área dedicada a la explotación mediante servicio de plataformas de Marketing de Automatización como Pardot (Salesforce ) o Hubspot a través de estrategias de Inbound Marketing.- Application Services: Especializada en el desarrollo de aplicaciones .net. Explotación mediante servicio de plataformas de Marketing de Automatización como Pardot (Salesforce ) o Hubspot a través de estrategias de Inbound Marketing. SICRAM - Sistema de Información y Control de Riesgos Ambientales: Sistema de información geográfico (GIS) que guarda y presenta datos relacionados con el espacio físico;;n.d.;;;30/07/2025
CLAUDIA ALONSO ALVAREZ, E.I.;COSMOS MEDIO AMBIENTE;AVDA. MANUEL LLANEZA, 69, 2º IZQDA. 33208 GIJON ASTURIAS;;clauastur@yahoo.es;;;;Informes de residuos. Informes de suelos. Auditorias de conformidad legal. Auditorias de sistemas de gestión ambiental (auditor de Certificación). Planes ambientales en puertos. Implantación de sistemas de gestión (EMAS. ISO 14001). Seguimiento y mantenimiento de sistemas de gestión ambiental ya implantados. Diseño de contenidos Web, didácticos, publicaciones divulgativas y formativas. Seguimiento de proyectos ambientales. Formación in company. Educación ambiental. Diagnósticos ambientales, EIA, APIA, Planes de seguimiento ambiental. Consejero de seguridad de mercancias peligrosas. Consultoría. Auditorías de certificación, de buenas prácticas de fabricación en la industria cosmética y de seguridad alimentaria.;1;n.d.;;;30/07/2025
CLIP COMUNICACION, S.L.;;C/ CASIMIRO VELASCO, 20, 3º D 33209 GIJON ASTURIAS;;clip@clipcomunicacion.es;98.534.72.72/71;;98.534.72.71;Servicios de publicidad, promoción de ventas publicitarias, regalos y reclamos publicitarios.;;n.d.;;;30/07/2025
CLUSTER DE FABRICACION AVANZADA DE LA INDUSTRIA DEL METAL DE ASTURIAS FEMETALINDUSTRY;FEMETALINDUSTRY;C/ MARQUES DE SAN ESTEBAN 1-7º 33206 GIJON ASTURIAS;http://www.metaindustry4.com;info@metaindustry4.com;98.535.65.46;;;Diagnóstico Industria 4.0;;n.d.;;;01/10/2025
CLUSTER DE INDUSTRIAS QUIMICAS Y DE PROCESOS DEL PRINCIPADO DE ASTURIAS;IQPA;CENTRO CIENTIFICO TECNOLOGICO CAMPUS DE EL CRISTO. EDIF. SEVERO OCHOA 33006 OVIEDO ASTURIAS;http://www.cluster-iqpa.com/;administracion@cluster-iqpa.com;;;;Promover todo tipo de proyectos de cooperación entre sus asociados, fomentar y desarrollar todo tipo de proyectos de investigación para el desarrollo de nuevos productos.;;n.d.;;;01/10/2025
CLUSTER DE LAS TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION DE ASTURIAS;CLUSTER TIC ASTURIAS;C/ PROFESOR POTTER, 183 1º DCHA. 33203 GIJON ASTURIAS;http://www.clustertic.net/;info@clustertic.net;98.509.92.14;;984393379;Mejorar la competitividad y asegurar un crecimiento sostenible de las empresas TIC asturianas;;n.d.;;;01/10/2025
CLUSTER DE REFRACTARIOS DE ASTURIAS;CRAIE;C/ABLANAL 8, PARCELA 53. PARQUE TECNOLOGICO DE ASTURIAS 33428 LLANERA ASTURIAS;http://www.clusterderefractarios.com/;itma@itma.es;98.598.00.58;;98.526.55.74;Promoción de la innovación, el desarrollo tecnológico y la investigación aplicada en el ámbito de sus respectivas actividades relacionadas con los refractarios, mediante la ejecución de proyectos conjuntos.;;n.d.;;;30/07/2025
CLUSTER ECONOMIA CIRCULAR Y CONSTRUCCION ‘0’ EMISIONES;CLUSTER ECCO;EDIFICIO AS5HUB. PARQUE CIENTIFICO TECNOLOGICO GIJON. C/ PROFESOR POTTER 72, OFICINAS 6 Y 7 33394 GIJON ASTURIAS;https://www.clusterecco.com;ecco@clusterecco.com;98.468.45.90;;;La consolidación de un marco o entorno abierto de colaboración orientado al desarrollo tecnológico y la innovación, como ejes fundamentales del progreso social y económico, mediante la apuesta decidida por los nuevos valores de la economía circular y la defensa del medio ambiente, así como el aprovechamiento de las ventajas de la sociedad del conocimiento y la digitalización conscientes de la necesidad de conjuntar sus esfuerzos y buscar sinergias entre todos los partícipes que cristalicen en la puesta en marcha de proyectos de colaboración que permitan la optimización de recursos y la mejora de las capacidades individuales de cada asociado.;;n.d.;;;01/10/2025
CMA MONTAJES Y SOLDADURAS, S.L.;CMA;C/ MARQUES DE SAN ESTEBAN 21, 5º IZQDA. 33206 GIJON ASTURIAS;;;98.535.16.39/26.18;;98.535.26.18;Montaje de equipos industriales, tuberías, oleoductos, gasoductos, instalaciones hidráulicas, plantas y naves industriales, soldadura de tuberías y recipientes a presión, construcción y montaje de estructuras metálicas, calderería ligera, conducciones hidráulicas;;n.d.;si;;30/07/2025
COALFRIO ALIMENTACION, S.A.;COALFRIO;CARRETERA DE LA ESTACION DE VIELLA 33429 SIERO ASTURIAS;;coalfrio@coalfrio.es;98.598.09.14;;98.598.05.51;Venta al por mayor de productos congelados;;n.d.;si;;30/07/2025
COALLA ASESORIA INFORMATICA, S.L.;;C/ ALBUQUERQUE, 23, BAJO 33204 GIJON ASTURIAS;http://www.coalla.com;coalla@coalla.com;98.517.59.64;;;Amplia gama de posibilidades en el ámbito informático, la seguridad, entornos multimedia y de las comunicaciones, para la optimización del rendimiento de la empresa;;n.d.;;;30/07/2025
COBRA INSTALACIONES Y SERVICIOS, S.A.;COBRA GRUPO;POL. IND. ASIPO, C/ C, NAVE 71 33428 LLANERA ASTURIAS;http://www.grupocobra.com;central@grupocobra.com;98.526.27.44;;98.526.40.88;Ingenieria industrial aplicada y servicios especializados: Instalaciones eléctricas y mecánicas / Montajes industriales y navales, demantelamiento nuclear / Instalaciones ferroviarias / Mantenimiento integral de infraestructuras, industria y edificación / Sistemas de control, seguridad y redes en edificación e industria / Gestión de infraestructuras y servicios asociados Ingeniería de bienes de equipo. Proyectos llave en mano. Especializados en trabajos en tensión, distribuciones de gas, abastecimiento y saneamiento de agua y ferrocarriles. Instalaciones eléctricas;;n.d.;si;si;30/07/2025
COCINAS MAQUA, S.L.;COCINAS ASTURCON;C/ EDUARDO CARREÑO, 6 BAJO 33403 AVILES ASTURIAS;http://www.cocinas-asturcon.com;cocinas@cocinas-asturcon.com;98.551.13.62;985.585.406;98.552.73.49;Fabricación e instalación de armarios y muebles de cocina y baño.;;n.d.;;;30/07/2025
CODIGO DEMAIN, S.L.;CODIGO DEMAIN;C/ AQUILINO URLE, Nº 20 33202 GIJON ASTURIAS;;info@codigodemain.es;98.533.04.19;;98.537.37.00;Gestión de recursos informáticos;;n.d.;;;30/07/2025
COEM ASTUR, S.L.;EL MUNDO DE LA SIDRA;BARRIO DE ABAJO, Nº 80, ARAMIL 33518 SIERO ASTURIAS;https://www.coemastur.com;coemastur@coemastur.com;98.598.53.15;;;Compraventa y distribución de maquinaria, accesorios, envases, productos complementarios y complementos aditivos para las industrias vinateras y de bebidas en general.;;n.d.;si;si;30/07/2025
COEMA ELECTROMETALICA ASTURIANA, S.L.;COEMA;C/ PAULINA CANGA, 3, POL. IND. BANKUNION I, TREMAÑES 33211 GIJON ASTURIAS;https://www.coemasl.es/;info@coemasl.es;98.531.30.11;;;La fabricación de estructuras metálicas ligeras, armarios, cajas, cabinas y pupitres para instalaciones eléctricas, mecánicas o informáticas. El conformado de piezas mediante corte, punzado, plegado, soldadura y lacado en chapa metálica;;n.d.;;;01/10/2025
COESPI, S.L.;;C/ ESPINAREDO, 1 33868 SALAS ASTURIAS;;coespi@terra.es;98.583.40.87/41.26;;98.583.46.44;Carrocería de camiones, grúas y plataformas elevadoras;;n.d.;;;30/07/2025
COFOSO, SDAD. COOP.;COFOSO SOC. COOP.;VILLAMOREY, 84 33993 SOBRESCOBIO ASTURIAS;http://www.cofoso.es;cofoso@hotmail.es;98.560.92.14;;98.560.92.14;Actividades forestales;;n.d.;;;01/10/2025
COLABORACION CON LA INDUSTRIA Y LA CONSTRUCCION, S.A.;COINCO;C/ JOSE LOPEZ OCAÑA 13, 8º A 33401 AVILES ASTURIAS;;coincosa@telefonica.net;;;98.550.50.45;Estructuras metálicas de diversos tipos, parrillas de cribar, cintas transportadoras, vagonetas Calderería media y pesada (depósitos, tolvas, silos...);;n.d.;;;30/07/2025
COLABORACIONES TECNICAS ELECTRICAS, S.A.;COTELSA;C/ PALACIO VALDES, 1, 2º DCHA. 33002 OVIEDO ASTURIAS;http://www.cotelsa.com/;dcorporativa@imasa.com;98.522.55.22;;98.522.16.80;Mantenimiento eléctrico, diseño e ingeniería, fabricación de cuadros y montajes tanto en alta y baja tensión como de instrumentación;;n.d.;;;01/10/2025
COMERCIAL A. CASTAÑO, S.L.;;BUENAVISTA, S/N 33180 NOREÑA ASTURIAS;http://www.enastur.eu/es/portada;enastur@enastur.eu;98.574.13.47/19.11;;98.574.30.44;Pollos y aves, conejos, corderos, despieces cárnicos derivados de aves, vacuno y porcino, caza, productos congelados, etc. Especilidades: elaborados frescos, embutidos y conservas cárnicas;16;n.d.;si;si;30/07/2025
COMERCIAL AGROPRES, S.L.;;POL. IND. BARRES. C/ LIEIRA, 85 33794 CASTROPOL ASTURIAS;https://www.comercialagropres.es/;info@comercialagropres.es;98.563.48.00;;98.563.48.00;Alimentacion animal. Fabricación de piensos y servicios agrícolas;;n.d.;;;01/10/2025
COMERCIAL AGRUPALSA, S.L.;AGRUPALSA;SALCEDO, S/N 33710 NAVIA ASTURIAS;http://www.agrupalsa.es;agrupalsa@agrupalsa.es;98.563.02.50;;98.547.33.65;Piensos compuestos para ganado vacuno, porcino, avícola y carne.;;n.d.;si;si;30/07/2025
COMERCIAL ARBAL, S.L.;;C/ MARCHA DEL HIERRO, 9 33401 AVILES ASTURIAS;http://www.comercialarbal.es;administracion@comercialarbal.es;98.556.41.37;;98.552.74.63;Venta de maquinaria al por mayor. Especialistas en filtración de aceites oleohidráulicos y de lubricación (control de la contaminación de los fluidos, agua, pintura, aire, gas, etc.).;;n.d.;si;si;30/07/2025
COMERCIAL DE LAMINADOS IBERICA, S.A.;CDL;CAMINO DEL MELON Nº 16. POL. IND. BANKUNION 1. 33211 GIJON ASTURIAS;http://www.cdl.es/;gijon@cdl.es;98.532.25.00;;;Comercio al por mayor de metales. Productos siderúrgicos en general.;;n.d.;si;;30/07/2025
COMERCIAL DE MATERIALES AISLANTES Y RECICLAJE, S.A.;COMARSA;POL. IND. RIAÑO II. C/PEÑA VILLA, PARCELA 4 33920 LANGREO ASTURIAS;http://www.comarsafm.com;comarsa@comarsafm.com;98.567.50.96;;98.567.50.96;Comercialización de materiales aislantes para obra pública y obra civil. Fabricación, comercialización y montaje de materiales de construcción, aislantes y de otro tipo para la construcción.;;n.d.;;;01/10/2025
COMERCIAL DE PINTURAS TOR, S.L.;TOR PINTURAS;POL. IND. PRONI, CALLE J, NAVE 1, MERES 33199 SIERO ASTURIAS;https://torpinturas.com/;info@torpinturas.com;98.420.49.81;;;Pinturas, esmaltes, barnices, lacas, revestimientos de todo tipo;;n.d.;;;29/08/2025
COMERCIAL EMBOTELLADORA DIEZ, S.L.;BODEGAS DIEZ;AVDA. DE OVIEDO, 16 33870 TINEO ASTURIAS;;comendi@telefonica.net;98.580.08.14;;;Vinos de mesa. Lagar de sidra natural.;;n.d.;;;30/07/2025
COMERCIAL ENOC, S.L.;OLEVENDING;POL. IND. NAON - CTRA. DE LA ESTACION, NAVE 6 VIELLA 33429 SIERO ASTURIAS;http://www.olevending.com;enoc@las.es;90.244.40.01;;98.526.49.53;Fabricación de maquinaria de vending;;n.d.;si;si;04/09/2025
COMERCIAL EPROM, S.A.;EPROM;LUGAR LOS BARREROS, 19. LA MANJOYA 33199 OVIEDO ASTURIAS;;;98.523.04.59;;98.527.30.19;Comercio al por menor de ordenadores, equipos periféricos y programas informáticos en establecimientos especializados. Asesoría y auditoría informática. Sistemas de seguridad. Solución global de comuniacaciones. Proyectos de red.;;n.d.;;;30/07/2025
COMERCIAL INTEGRAL CODI, S.A.;CODISA;POL. IND. PEROGRAN, LES PEÑES, Nº 42, GRANDA 33199 SIERO ASTURIAS;http://www.codisa.net;codisa@codisa.net;98.596.44.57;;98.596.44.58;Mobiliario de oficina;;n.d.;;;30/07/2025
COMERCIAL LUVICAR, S.L.;COMERCIAL LUVICAR;C/ MARIA GONZALEZ LA PONDALA, 2, SOTIELLO 33393 GIJON ASTURIAS;http://luvicar.es;info@luvicar.com;98.530.14.15/19.08;;98.530.14.13;Comercio mayorista de hierros, metales y otros productos siderúrgicos;;n.d.;;;30/07/2025
COMERCIAL MANUEL URONES, S.L.;URONES;POL. IND. SIA COPPER, PARCELA S-33, NAVES 2 Y 3 33420 SIERO ASTURIAS;WWW.MANUELURONES.COM;buzon@manuelurones.com;98.523.91.41;;98.527.26.13;Venta al por mayor de artículos de papelería, regalos e informática.;;n.d.;si;si;30/07/2025
COMERCIAL RUBIO HIDALGO, S.A.;;POL. IND. SILVOTA, C/ PEÑA SALON, 36 B 33192 LLANERA ASTURIAS;http://www.rubiohidalgo.com/;administracion@rubiohidalgo.com;900.905.345;;98.579.30.71;Comercio de productos hostelería e industria.;;n.d.;si;si;30/07/2025
COMERCIALIZACIONES URBANAS MARTINBLANCO, S.L.;GESTORA DE COBROS ASTURIANA;C/ RUFO GARCIA RENDUELES 22, 9ºF 33203 GIJON ASTURIAS;http://www.gestoradecobrosasturiana.com/;cajamago@gmail.com;98.404.26.04;;98.404.26.04;Gestión extrajudicial y judicial recobro impagados;;n.d.;;;30/07/2025
COMERCIALIZADORA DE MODA DEL NORTE, S.L.;;C/ MARCO POLO, 59. POL. IND. ROCES Nº 4 33211 GIJON ASTURIAS;http://www.mamatayoe.com;administracion@mamatayoe.com;98.516.84.26;;98.516.87.59;Moda mujer;;n.d.;;si;29/10/2025
COMICS Y CUENTOS ASTURIAS, S.L.;;C/ SAMUEL MORSE, 64 33211 GIJON ASTURIAS;http://www.comicsycuentos.com;asturias@comicsycuentos.com;98.516.81.87;;98.530.71.15;Edición, publicación y distribución de ediciones infantiles, pasatiempos, cuentos con pegatinas, libros de colorear, cuentos infantiles, puzzles, recortables, publicaciones en cartón, revistas, libros varios, etc.;;n.d.;si;si;30/07/2025
COMPAÑIA FISCAL Y AMBIENTAL TORRES Y ASOCIADOS, S.L.;;C/ VENANCIO MARTINEZ, 4 - PTL. 1 - 5º A-B 33710 NAVIA ASTURIAS;http://www.torresyasociados.es;jorge@torresyasociados.es;;;;- Sistemas de gestión de calidad (ISO 9001), medioambiente (ISO 14001) y prevención de riesgos, auditorías internas. Outsourcing, mantenimiento de sistemas. Auditores de acresitación ENAC.- Deduciones fiscales por proyectos de I+D+i. Informe motivado, memoria técnica, certificación- Generación de proyectos de colaboración empresarial. Generación de propuestas tecnológicas, nuevos procesos/productos- Ayudas en materia de I+D, activos fijos, energía y otras- Autorizaciones Ambientales Integradas, Tramitaciones Administrativas;;n.d.;;;30/07/2025
COMPAÑIA PARA LA GESTION DE RESIDUOS SOLIDOS, S.A.;COGERSA;POL. IND. FABRICA DE MIERES, ESTACION DE TRANSFERENCIA 33600 MIERES ASTURIAS;http://www.cogersa.es;cogersa@cogersa.es;;;;Transferencia de residuos urbanos y punto limpio. Recogida de residuos peligrosos. Tratamiento de residuos no peligrosos. Tratamiento de residuos peligrosos, recogida y clasificación de aceites usados, tratamiento de residuos hospitalarios, recogida selectiva de residuos, compostaje, RCD, aprovechamiento energético. Producción de COMPOST con etiqueta ecológica.;;n.d.;;;03/11/2025
COMPAÑIA PROMOTORA DE LAS CARNES DEL PRINCIPADO DE ASTURIAS, S.A.;;C/ EL RAYO, 26 33010 OVIEDO ASTURIAS;http://www.el-cuco.com;administracion@el-cuco.com;98.520.03.24;;;Alquiler de instalaciones. Venta al por mayor de carnes;;n.d.;;;30/07/2025
COMPONENTES INFORMATICOS ASTURIAS, S.L.;C.I.A.;C/ PROGRESO, 7, BAJO 33209 GIJON ASTURIAS;http://www.componentesasturias.com;javi@componentesasturias.com;98.529.29.40;;;Productos informáticos;;n.d.;;;30/07/2025
CONCENTRADOS VILLAVICIOSA, S.A.;COVILLASA;LA ESPUNCIA S/N 33300 VILLAVICIOSA ASTURIAS;http://www.covillasa.com;info@gaitero.com;98.589.01.00;;98.589.16.54;Elaboración y comercialización de zumos concentrados de frutas y otras conservas vegetales. Zumo concentrado de manzana, zumo concentrado de pera.;;n.d.;si;si;08/10/2025
CONEXION WEB 3D, S.L.;BANAK IMPORTA OVIEDO;PG INDUSTRIAL GRANDA, 2 33510 SIERO ASTURIAS;;info@banakoviedo.com;98..57.9..44;;;Venta de muebles.;;n.d.;si;;30/07/2025
CONFECCIONES NOREÑA, S.C.;;C/ LA CONCORDIA, 4 33180 NOREÑA ASTURIAS;;;98.574.21.28;;98.572.08.87;Prendas de vestir de caballero, principalmente bañadores.;6;Entre 0 y 150.000;;;30/07/2025
CONFITERIA LA PLAYA, S.L.;;C/ LIBERTAD, 30 33206 GIJON ASTURIAS;http://www.confiterialaplaya.es;confiterialaplaya@gmail.com;98.534.33.28;;98.536.36.67;Bombones, pasteles, bollos;;n.d.;;;30/07/2025
CONGELADOS BASILIO, S.A.;CONGELADOS BASILIO;POL. IND. PUENTE NORA, C/ BASILIO CASTRO, NAVES 1 - 4 33420 SIERO ASTURIAS;http://www.pescados-basilio.es/index.html;basilio@congelados-basilio.es;98.526.01.66/65.66;;98.526.04.94;Distribución de pescados y mariscos congelados.;;n.d.;si;si;30/07/2025
CONGELADOS DEL CANTABRICO, S.L.;;POL. IND. ESPIRITU SANTO. PARCELA 3-1 33010 OVIEDO ASTURIAS;http://www.friobas.com;congcantabrico@friobas.com;98.579.11.88;;98.579.11.90;Venta al por mayor y minorista de pescados y mariscos congelados.;;n.d.;;;30/07/2025
CONGELADOS SARIEGO, S.L.;;C/TORREVIEJA, 8, BAJO 33510 SIERO ASTURIAS;http://www.congeladossariego.com;admon@congeladossariego.com;98.574.83.89;;98.574.84.38;Comercio de productos congelados Elaboración de productos congelados tanto enteros como elaborados;;n.d.;si;si;30/07/2025
CONNECTIS ICT SERVICES, S.A.;GETRONICS;C/ VETUSTA, 42 (ENTRADA POR C/ LOS TILOS) 33008 OVIEDO ASTURIAS;https://www.getronics.com;administracion.oviedo@getronics.com;98.598.19.00;;98.598.19.01;Desarrollo de aplicaciones informáticas, proyectos de software, integración de sistemas, consultoría, asistencia técnica, formación, e-services.;;n.d.;;;01/10/2025
CONOR PERSIANAS, S.A.;;C/ LUIS INFIESTA CASTRO, Nº 4 (SOTIELLO) - POL. IND. SOMONTE 33393 GIJON ASTURIAS;https://www.persianasconor.es/;info@persianasconor.es;98.530.38.20;;98.530.37.16;Productos para el cerramiento integral de la vivienda, instalaciones comerciales, industriales y de ocio. Fabricación, montaje, transporte, instalación y mantenimiento de persianas, cerramientos y automatismos;;n.d.;si;;28/08/2025
CONSERVAS AGROMAR, S.A.;;MUELLE DEL RENDIELLO, S/N - EL MUSEL 33290 GIJON ASTURIAS;http://www.agromar.es;info@agromar.es;98.532.18.15;985.316.804;98.532.16.58;Conservas, caviar de oricios, bonito en sidra, anchoas en queso, cebollas rellenas de bonito, patés Conservas, caviar de oricios, bonito en sidra, anchoas en queso, cebollas rellenas de bonito, patés;;n.d.;;si;30/07/2025
CONSERVAS LAUREL, S.L.;LAUREL;C/ METALURGICOS 16, NAVE F. PARQUE EMPRESARIAL 33490 AVILES ASTURIAS;http://www.conservaslaurel.com;info@conservaslaurel.com;98.552.54.37;;98.552.54.38;Fabricación de conservas y platos preparados. Fabricación de conservas y platos preparados.;;n.d.;;si;30/07/2025
CONSERVAS REMO, S.L.;CONSERVAS REMO, S.L.;C/ DE LA MECANICA, 302. VERIÑA POL. IND. LA PEÑONA. 33691 GIJON ASTURIAS;http://www.conservasremo.es;tienda@conservasremo.es;98.587.05.57;;98.587.05.57;Conservas de bonito, anchoas, sardinas, calamares, pulpo, patés. Conservas de bonito, anchoas, sardinas, calamares, pulpo, patés.;;n.d.;;;15/10/2025
CONSMECAR, S.L.;CONSMECAR;CIUDAD INDUSTRIAL VALNALON, C/ SIDERURGIA 6-3, LA FELGUERA 33930 LANGREO ASTURIAS;http://www.consmecar.com;consmecar@consmecar.com;98.526.64.41;;98.526.67.10;Fabricación de acoplamientos de tuberías de hierro, suministro de todo tipo de tuberías de hierro. Tubos de acero inoxidable, acero de aleación y acero al carbono, así como la mayor parte de accesorios asociados a los mismos;;n.d.;si;si;14/10/2025
CONSORCIO DE ALIMENTOS TRADICIONALES DE ASTURIAS;CATA;CTRA. AS-17, KM. 29,800. MARGEN IZQUIERDO. FONCIELLO. TIÑANA 33199 SIERO ASTURIAS;http://www.catagourmet.com;cata@catagourmet.com;98.579.12.96;;98.579.43.23;Embutidos, platos típicos precocinados Quesos Conservas de pescado y marisco. Mermeladas, mieles y legumbres;;n.d.;;si;30/07/2025
CONSORCIO PARA EL ABASTECIMIENTO DE AGUA Y SANEAMIENTO EN EL PRINCIPADO DE ASTURIAS;CONSORCIO DE AGUAS DE ASTURIAS - CADASA;C/ SANTA SUSANA, 15 33007 OVIEDO ASTURIAS;http://www.consorcioaa.com;consorcioaa@consorcioaa.com;98.596.61.95;;98.596.41.51;Abastecimiento y saneamiento de agua del Principado de Asturias;;n.d.;;;05/11/2025
CONSORCIO TECNOLOGICO DE LA ENERGIA DE ASTURIAS, AIE;AINER;C/ FRAY PAULINO ALVAREZ, S/N 33600 MIERES ASTURIAS;http://www.ainer.es;consorcio@faen.es;98.546.71.80;;98.545.41.43;Fomentar el desarrollo tecnológico, la innovación, la gestión del conocimiento y la investigación aplicada en el sector de la energía, pudiendo llevar a cabo además, otras actividades conexas o directamente relacionadas con las anteriores.;;n.d.;;;24/10/2025
CONSTRUCCIONES E INSTALACIONES ELECTRICAS BREDASTUR, S.L.;BREDASTUR;C/ JUAN DE LA COSA 76. ROCES 5 33211 GIJON ASTURIAS;;;;;;Promoción, construcción y reparación de toda clase de edificaciones. Ejecución de toda clase de obras publicas.;;n.d.;;;16/10/2025
CONSTRUCCIONES FONCUEVA, S.L.;;POL. IND. SANTIANES, 11-B 33518 SARIEGO ASTURIAS;;cele@foncueva.com;98.574.89.25;;98.574.84.54;Maquinas para la industria de la alimentación. Todo tipo de trabajo de estructuras metálicas. Maquinaria para la industria;;n.d.;si;;30/07/2025
CONSTRUCCIONES GARCIA RAMA, S.L.;GARCIA RAMA;C/ SIERRA DEL SUEVE, 6 33211 GIJON ASTURIAS;http://www.garciarama.com;info@garciarama.com;98.538.35.96;;98.599.01.35;Adquisición, urbanización y parcelación de terrenos y solares, promoción y construcción y reparación de toda clase de edificios;;n.d.;si;;01/10/2025
CONSTRUCCIONES GONSAN, S.L.;;POL. IND. VALNALON, C/ LAMINACION, PARCELA 8.3 33930 LANGREO ASTURIAS;http://www.gonsan.es;administracion@gonsan.es;98.567.87.17;;98.567.82.17;Construcción obra civil, canalizaciones eléctricas;;n.d.;;;14/10/2025
